utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
670827.637	3529878.675	3.067	-0.556	1.562	0.001	0.002	0.001	-0.009	0.579	-0.049	0.000	0.000	118.8063054	31.8919183
670827.643	3529878.593	3.067	-0.556	1.580	0.005	0.003	0.005	0.024	0.819	-0.086	0.000	0.000	118.8063055	31.8919175
670827.643	3529878.593	3.067	-0.556	1.580	0.006	0.000	0.006	0.013	0.580	-0.085	0.000	0.000	118.8063055	31.8919175
670827.650	3529878.509	3.067	-0.556	1.606	0.000	0.004	0.000	-0.036	0.670	-0.056	0.000	0.000	118.8063055	31.8919168
670827.650	3529878.509	3.067	-0.556	1.606	0.017	0.004	0.017	0.098	1.407	-0.315	0.000	0.000	118.8063055	31.8919168
670827.657	3529878.423	3.068	-0.560	1.632	0.007	0.003	0.007	0.094	0.980	-0.047	0.000	0.000	118.8063056	31.8919160
670827.664	3529878.335	3.068	-0.565	1.649	0.010	0.002	0.010	0.021	0.840	0.225	0.000	0.000	118.8063057	31.8919152
670827.664	3529878.335	3.068	-0.569	1.649	0.001	0.002	0.001	0.092	0.805	0.304	0.000	0.000	118.8063057	31.8919152
670827.671	3529878.244	3.069	-0.579	1.667	-0.001	-0.000	-0.001	-0.135	0.695	0.311	0.000	0.000	118.8063057	31.8919144
670827.671	3529878.244	3.069	-0.593	1.667	-0.006	0.001	-0.006	0.078	0.847	0.339	0.000	0.000	118.8063057	31.8919144
670827.678	3529878.151	3.070	-0.593	1.684	-0.007	0.001	-0.007	-0.086	0.667	-0.007	0.000	0.000	118.8063058	31.8919135
670827.686	3529878.055	3.070	-0.866	1.684	-0.009	-0.000	-0.009	0.140	0.616	-0.026	0.000	0.000	118.8063058	31.8919127
670827.686	3529878.055	3.070	-0.875	1.684	-0.000	-0.000	-0.000	0.020	0.559	-0.249	0.000	0.000	118.8063058	31.8919127
670827.694	3529877.958	3.071	-0.884	1.936	0.008	0.004	0.008	0.081	0.862	-0.253	0.000	0.000	118.8063059	31.8919118
670827.694	3529877.958	3.071	-0.889	1.953	0.013	0.006	0.013	0.111	1.386	-0.084	0.000	0.000	118.8063059	31.8919118
670827.702	3529877.858	3.072	-0.898	1.953	0.004	0.005	0.004	0.175	0.914	0.109	0.000	0.000	118.8063060	31.8919109
670827.709	3529877.756	3.073	-0.903	1.970	0.001	0.005	0.001	0.077	0.768	0.178	0.000	0.000	118.8063060	31.8919100
670827.709	3529877.756	3.073	-0.903	1.970	-0.005	0.009	-0.005	0.129	0.841	0.235	0.000	0.000	118.8063060	31.8919100
670827.717	3529877.651	3.074	-0.907	1.988	-0.001	0.008	-0.001	0.124	0.829	0.090	0.000	0.000	118.8063061	31.8919090
670827.717	3529877.651	3.074	-0.903	1.988	-0.002	0.008	-0.002	-0.064	0.543	0.026	0.000	0.000	118.8063061	31.8919090
670827.724	3529877.544	3.074	-0.898	2.014	-0.003	0.015	-0.003	0.042	1.606	-0.214	0.000	0.000	118.8063062	31.8919081
670827.732	3529877.435	3.075	-0.894	2.031	0.006	0.004	0.006	-0.101	0.597	-0.078	0.000	0.000	118.8063062	31.8919071
670827.732	3529877.435	3.075	-0.884	2.031	0.003	0.006	0.003	0.081	0.885	0.050	0.000	0.000	118.8063062	31.8919071
670827.740	3529877.324	3.076	-0.398	2.031	-0.006	0.008	-0.006	-0.042	0.591	0.063	0.000	0.000	118.8063063	31.8919061
670827.740	3529877.324	3.076	-0.398	2.031	-0.004	0.007	-0.004	0.044	0.778	0.044	0.000	0.000	118.8063063	31.8919061
670827.748	3529877.210	3.076	-0.375	2.292	-0.003	0.004	-0.003	-0.026	0.962	0.113	0.000	0.000	118.8063063	31.8919051
670827.748	3529877.210	3.076	-0.329	2.292	-0.006	0.001	-0.006	0.019	0.604	-0.102	0.000	0.000	118.8063063	31.8919051
670827.756	3529877.095	3.076	-0.306	2.309	0.008	-0.007	0.008	0.036	0.710	-0.083	0.000	0.000	118.8063064	31.8919040
670827.764	3529876.978	3.077	-0.282	2.326	0.014	-0.005	0.014	0.051	0.579	-0.057	0.000	0.000	118.8063065	31.8919030
670827.764	3529876.978	3.077	-0.255	2.326	0.012	-0.002	0.012	-0.034	0.956	0.039	0.000	0.000	118.8063065	31.8919030
670827.773	3529876.858	3.077	-0.236	2.344	-0.001	0.006	-0.001	0.041	0.722	0.139	0.000	0.000	118.8063065	31.8919019
670827.781	3529876.737	3.077	-0.190	2.344	0.005	0.005	0.005	0.033	0.779	-0.045	0.000	0.000	118.8063066	31.8919008
670827.781	3529876.737	3.077	-0.190	2.361	-0.006	0.003	-0.006	-0.103	0.716	-0.022	0.000	0.000	118.8063066	31.8919008
670827.789	3529876.613	3.077	-0.148	2.361	0.006	0.004	0.006	0.075	1.240	-0.212	0.000	0.000	118.8063067	31.8918997
670827.789	3529876.613	3.077	-0.130	2.378	0.003	-0.005	0.003	-0.001	0.661	-0.066	0.000	0.000	118.8063067	31.8918997
670827.798	3529876.487	3.077	-0.116	2.378	0.010	0.001	0.010	0.050	0.897	-0.190	0.000	0.000	118.8063067	31.8918985
670827.806	3529876.358	3.077	0.000	2.604	0.014	0.004	0.014	-0.039	1.471	0.050	0.000	0.000	118.8063068	31.8918974
670827.806	3529876.358	3.077	0.009	2.604	0.001	-0.001	0.001	-0.061	0.630	0.364	0.000	0.000	118.8063068	31.8918974
670827.815	3529876.228	3.077	0.019	2.630	-0.010	-0.004	-0.010	-0.145	1.560	0.334	0.000	0.000	118.8063069	31.8918962
