utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
670828.461	3529874.237	3.100	0.565	0.000	-0.000	0.001	-0.000	0.030	-0.000	-0.005	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.491	0.000	0.002	0.002	0.002	-0.010	0.002	0.044	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.273	0.000	-0.001	-0.000	-0.001	-0.021	-0.010	-0.004	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.176	0.000	0.000	-0.002	0.000	-0.103	0.164	0.131	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.102	0.000	-0.002	0.000	-0.002	-0.045	0.049	0.024	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.056	0.000	0.001	0.001	0.001	-0.012	-0.033	-0.052	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.042	0.000	-0.002	-0.001	-0.002	-0.001	0.013	-0.009	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.032	0.000	0.001	-0.001	0.001	0.040	-0.010	-0.027	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.032	0.000	-0.001	-0.003	-0.001	0.073	-0.085	-0.050	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	0.001	0.000	0.001	0.022	-0.007	-0.015	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	-0.001	0.001	-0.001	0.018	-0.049	0.016	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	0.001	0.002	0.001	-0.020	0.037	0.084	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	0.001	0.001	0.001	-0.007	0.034	0.036	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	0.001	0.001	0.001	0.040	-0.003	-0.053	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	0.000	0.001	0.000	-0.015	0.022	0.010	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	0.000	0.002	0.000	-0.014	-0.004	-0.042	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.037	0.000	-0.000	0.000	-0.000	-0.046	0.011	0.019	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.032	0.000	-0.000	0.000	-0.000	-0.029	-0.024	-0.006	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.019	0.000	-0.001	-0.001	-0.001	-0.025	-0.009	0.005	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.019	0.000	0.001	-0.001	0.001	-0.010	-0.022	0.001	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.019	0.000	0.001	0.001	0.001	0.021	0.017	0.012	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.019	0.000	0.000	0.000	0.000	0.063	0.001	-0.023	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.014	0.000	0.001	0.000	0.001	0.021	0.031	0.018	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.009	0.000	-0.001	0.000	-0.001	0.037	-0.002	0.002	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	-0.009	0.000	-0.002	-0.000	-0.002	-0.003	0.046	0.039	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	-0.005	0.000	0.000	0.001	0.000	0.002	-0.019	-0.019	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.009	0.000	-0.001	0.000	-0.001	-0.008	-0.016	-0.009	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.014	0.000	0.000	0.001	0.000	0.001	-0.026	-0.023	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.014	0.000	0.002	0.000	0.002	-0.035	-0.019	-0.012	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.014	0.000	0.000	-0.001	0.000	-0.039	0.000	0.010	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.019	0.000	0.000	-0.000	0.000	-0.021	0.018	0.006	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.019	0.000	-0.001	-0.002	-0.001	-0.009	0.032	0.000	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.019	0.000	0.000	-0.000	0.000	-0.000	0.024	0.012	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.019	0.000	-0.000	-0.001	-0.000	0.026	0.005	-0.004	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.019	0.000	-0.000	-0.001	-0.000	0.039	0.021	0.025	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	0.019	0.000	-0.000	-0.000	-0.000	0.027	-0.009	-0.004	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	0.019	0.000	-0.001	0.001	-0.001	0.021	-0.038	-0.032	-0.502	0.061	118.8063133	31.8918781
670828.460	3529874.237	3.100	0.019	0.000	-0.000	-0.000	-0.000	0.010	-0.003	-0.014	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.019	0.000	0.001	0.000	0.001	-0.015	-0.024	-0.018	-0.502	0.061	118.8063133	31.8918781
670828.459	3529874.237	3.100	0.019	0.000	0.001	-0.002	0.001	-0.025	0.006	-0.022	-0.502	0.061	118.8063133	31.8918781
