utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
671407.388	3529319.931	2.265	1.296	2.196	-0.001	-0.003	-0.001	-0.152	0.281	0.066	0.000	0.000	118.8123343	31.8867926
671407.475	3529319.860	2.263	1.310	2.196	0.007	-0.015	0.007	-0.043	0.934	0.027	0.000	0.000	118.8123352	31.8867919
671407.475	3529319.860	2.263	1.329	2.196	-0.005	-0.005	-0.005	-0.017	0.322	0.137	0.000	0.000	118.8123352	31.8867919
671407.562	3529319.789	2.262	1.347	2.214	-0.006	-0.006	-0.006	-0.021	0.153	0.292	0.000	0.000	118.8123361	31.8867913
671407.651	3529319.718	2.260	1.301	2.214	-0.003	-0.011	-0.003	0.057	0.247	0.027	0.000	0.000	118.8123370	31.8867906
671407.651	3529319.718	2.260	1.282	2.214	-0.002	-0.012	-0.002	-0.067	0.417	-0.289	0.000	0.000	118.8123370	31.8867906
671407.740	3529319.646	2.258	1.269	2.318	0.001	-0.005	0.001	-0.072	0.319	-0.146	0.000	0.000	118.8123380	31.8867900
671407.740	3529319.646	2.258	1.250	2.326	0.004	-0.004	0.004	-0.155	0.049	0.042	0.000	0.000	118.8123380	31.8867900
671407.830	3529319.573	2.257	1.236	2.326	0.007	-0.006	0.007	-0.040	0.193	0.181	0.000	0.000	118.8123389	31.8867893
671407.920	3529319.500	2.256	1.218	2.326	0.003	-0.011	0.003	-0.061	0.310	0.028	0.000	0.000	118.8123398	31.8867886
671407.920	3529319.500	2.256	1.204	2.335	0.006	-0.021	0.006	-0.344	1.111	-0.141	0.000	0.000	118.8123398	31.8867886
671408.012	3529319.427	2.255	1.185	2.344	-0.009	-0.011	-0.009	-0.138	0.178	0.046	0.000	0.000	118.8123408	31.8867879
671408.012	3529319.427	2.255	1.171	2.344	0.004	0.002	0.004	0.114	0.335	-0.385	0.000	0.000	118.8123408	31.8867879
671408.104	3529319.354	2.254	1.153	2.344	0.000	0.008	0.000	0.156	0.406	-0.311	0.000	0.000	118.8123418	31.8867873
671408.197	3529319.279	2.252	1.120	2.344	0.014	0.014	0.014	0.123	0.225	-0.086	0.000	0.000	118.8123427	31.8867866
671408.197	3529319.279	2.252	1.102	2.352	0.006	0.005	0.006	0.009	0.103	0.214	0.000	0.000	118.8123427	31.8867866
671408.291	3529319.204	2.251	1.046	2.457	0.012	-0.009	0.012	0.025	1.193	0.789	0.000	0.000	118.8123437	31.8867859
671408.291	3529319.204	2.251	1.046	2.457	-0.003	-0.010	-0.003	-0.022	0.198	0.313	0.000	0.000	118.8123437	31.8867859
671408.386	3529319.129	2.250	1.056	2.465	-0.007	-0.009	-0.007	-0.042	0.823	0.862	0.000	0.000	118.8123447	31.8867852
671408.386	3529319.129	2.250	1.060	2.465	-0.008	0.003	-0.008	-0.028	-0.053	0.186	0.000	0.000	118.8123447	31.8867852
671408.481	3529319.052	2.249	1.065	2.474	-0.009	0.016	-0.009	-0.053	0.491	-0.075	0.000	0.000	118.8123457	31.8867845
671408.576	3529318.977	2.247	1.069	2.474	-0.001	0.008	-0.001	-0.134	0.365	-0.360	0.000	0.000	118.8123467	31.8867838
671408.576	3529318.977	2.247	1.069	2.483	0.020	-0.007	0.020	-0.136	0.167	-0.441	0.000	0.000	118.8123467	31.8867838
671408.673	3529318.903	2.246	1.069	2.491	0.013	-0.013	0.013	-0.070	0.355	-0.197	0.000	0.000	118.8123477	31.8867831
